Name;Id;D.O.B.;died;Appointed;Date;Age;Noble rank;Family;Spouse(s) / Father of Spouse / Date of Marriage
De la Gardie, Johan Pontusson;55;1582;1640;1633;2.4.;51;Uradel (Ancient Nobility);Father 57, Father-in-law 150, Brother 53, Sons-in-law 223 and 204, Sons-in-law II 39 and 111;1. Catharina Oxenstierna/Christer Gabrielsson Oxenstierna af Eka och Lindö (CR)/16(09) 2. Görvel Posse/Arvid Lagesson Posse/13.12.1635
Kurck, Jöns Knutsson;111;1590;1652;1633;14.1.;43;Uradel (Ancient Nobility), barony 12.4.1651;Maternal Grandfather 92, Father-in-law 156, Father-in-law II 55, Father-in-law III 263, Sons 110 and 112, Sons-in-law II 11 and 100;1. Märta Oxenstierna/Gustav Gabrielsson Oxenstierna (CR)/11.7.1616 2. Sophia De la Gardie/Johan De la Gardie/30.11.1634 3. Christina Horn af Kanckas/Arvid Henriksson Horn (CR) /29.7.1649
Natt och Dag, Åke Axelsson;143;1594;1655;1633;4.2.;39;Uradel (Ancient Nobility), barony 20.4.1652;Father-in-law 156, Sons-in-law 26 and 188, Sons-in-law II 112 and 195;1. Elsa Oxenstierna/Gustaf Gabriesson Oxenstierna (CR)/9.7.1616 2. Anna Cruus/Jesper Andersson Cruus/2.2.1653
Ryning, Erik Eriksson;179;1592;1654;1633;4.2.;41;Uradel (Ancient Nobility), barony 15.12.1651;No relatives;Maria Elisabeth Kurtzel/Jost Georgsson Kurtzel/20.8.1620
Sparre, Per Eriksson;199;1592;1648;1633;14.1.;41;Uradel (Ancient Nobility), The House of Nobility 1625, barony 6.3.1647;Father 193, Brothers 196, 197 and 200, Father-in-law II 180, Son 261, Sons-in-law 246 and 94;1. Elsa Posse/Arvid Lagesson Posse 2. Christina Ryning/Peder Nilsson Ryning (CR)
Horn af Åminne, Clas Christersson;97;1587;1651;1634;25.9.;47;Uradel (Ancient Nobility);Paternal Grandfather 96, Maternal Grandfather 25, Brother 99, Father-in-law 147, Sons 93 and 94, Sons-in-law 207, 160 and 261;Sigrid Oxenstierna/Bengt Gabrielsson Oxenstierna/7.2.1620
Horn, Gustaf Christersson;99;1601;1639;1638;6.9.;37;Uradel (Ancient Nobility);Brother 97, Succ. Mat. 102;Kerstin Bååt/Bo Gustafsson Bååt/23.7.1637
Oxenstierna af Södermöre, Johan Axelsson;158;1611;1657;1639;12.2.;28;Uradel (Ancient Nobility), countship 19.11.1645;Father 145, Brother 151, Father-in-law II 36, Ant. Mat. II 146;1. Anna Margaretha Sture/Svante Mauritzsson Sture/24.6.1636 2. Margaretha Brahe/Abraham Persson Brahe (CR)/13.8.1648
Bielke, Ture Nilsson;24;1606;1648;1640;14.4.;34;Uradel (Ancient Nobility), barony 12.8.1608;Father 18, Father-in-law 10, Brothers 15 and 20;Anna Christina Banér/Svante Gustafsson Baner (CR)/14.3.1643
Kagg, Lars Nilsson;106;1595;1661;1641;14.4.;46;Uradel (Ancient Nobility), barony 16.10.1651, countship 2.10.1653;Father-in-law 172;Agneta Ribbing/Lindorm Persson Ribbing (CR)/9.3.1628
Oxenstierna af Eka och Lindö, Bengt Bengtsson;146;1591;1643;1641;12.4.;50;Uradel (Ancient Nobility);Brother 152, Father-in-law 36, Succ. Mat. II 158;Margaretha Brahe/Abraham Persson Brahe (CR)/8.7.1633
Posse af Hedensund, Knut Göransson;167;1592;1664;1641;;49;Uradel (Ancient Nobility), barony 26.3.1651;Father 165, Son 164, Son-in-law 89;Ingeborg Torstensdotter/Torsten Lennartsson (Forstenasläkten)/14/15.11.1618
Sparre af Rossvik, Lars Eriksson;197;1590;1644;1641;;51;Uradel (Ancient Nobility);Father 193, Brothers 196, 199 and 200, Father-in-law 5 , Sons 194 and 195, Sons-in-law 54 and 93;1. Märta Banér/Gustaf Axelsson Baner (CR)/20.10.1617 2. Catharina Bååt/Jakob Jakobsson Bååt/2.2.1641
Torstensson, Lennart Torstensson;223;1603;1651;1641;12.4.;38;Uradel (Ancient Nobility), countship 5.2.1647;Father-in-law 55, Succ. Mat. II 39, son 222;Beata De la Gardie/Johan De la Gardie (CR)/8.12.1633
Bååt, Seved Bosson;48;1615;1669;1645;24.1.;30;Uradel (Ancient Nobility), barony 29.1.1650;Maternal Grandfather 174, Father-in-law 205, Son-in-law 247;Magdalena Stenbock/Gustav Eriksson Stenbock (CR)/13.11.1642
Gyllenstierna, Erik Carlsson;84;1602;1657;1645;24.1.;43;Uradel (Ancient Nobility), barony 26.3.1651;Son CR, son CR, Son-in-law 259;Beata von Yxkull/Conrad Reinholdsson von Yxkull/16.1.1636
Oxenstierna af Croneborg, Gustaf Gabrielsson;157;1613;1648;1645;25.1.;32;Uradel (Ancient Nobility), countship posthumously 10.11.1651;Father-in-law 53, Son-in-law CR, son-in-law 6;Maria Sophia De la Gardie/Jakob De la Gardie (CR)/12.2.1643
Sparre, Ture Eriksson;200;1593;1664;1645;;52;Uradel (Ancient Nobility), barony 6.3.1647;Father 193, Brothers 196, 197 and 199;Maria Natt och Dag/Axel Johansson Natt och Dag
Stenbock, Fredrik Gustafsson;204;1607;1652;1645;24.1.;38;Uradel (Ancient Nobility), countship 26.3.1651;Father 205, Brothers 202 and 207, Father-in-law 55, Son 266;Catharina De la Gardie/Johan De la Gardie (CR)/24.11.1634
Vasaborg, Gustaf Gustafsson af;241;1616;1653;1646;5.9.;30;Ennobled 20.3.1637, barony and countship 20.8.1646;No relatives, Father Gustavus Adolphus (illegitimate);Anna Sofia von Wied-Runkel/Herman II von Wied-Runkle/
Wrangel, Carl Gustaf Hermansson;244;1613;1676;1646;18.8.;33;Uradel (Ancient Nobility), countship 26.3.1651, barony 6.4.1653(?);Father 245, Son-in-law 252;Anna Margaretha von Haugwitz/Baltzar Joakim von Haugwitz
De la Gardie, Magnus Gabriel Jacobsson;56;1622;1686;1647;17.3.;25;Uradel (Ancient Nobility);Father 53, Brothers 54, 255 and 256, Son 257;Maria Eufrosyne von Zweibrücken/Duke of Bavaria Johan Kasimir von Zweibrücken/ 7.3.1647
Adler Salvius, Johan;2;1590;1652;1648;27.3.;58;Ennobled 26.1.1629, barony 12.3.1651;No relatives;Margaretha Pedersdotter Skuthe/Peder Eriksson Skuthe/19.9.1620
Lillie, Axel Gustafsson;129;1603;1662;1648;24.4.;45;Uradel (Ancient Nobility), barony 16.3.1651, countship 20.8.1652;Wife's Brother 140;Christina Mörner/Otto Helmer von Mörner/16.3./19.5.1630
Skytte, Bengt Johansson;183;1614;1683;1648;;34;Uradel (Ancient Nobility), barony 16.6.1624;Father 184;1. Christina Sparre/Carl Eriksson Sparre/8.12.1636 2. Eva Mörner/1670s
Ulfsparre, Åke Hansson;237;1597;1657;1648;17.6.;51;Uradel (Ancient Nobility), barony 18.2.1653;Father 235;Margaretha Kyle/Claes Hansson Kyle
Bielke, Gustaf Nilsson;15;1618;1661;1650;30.9.;32;Uradel (Ancient Nobility);Father 18, Brothers 20 and 24, Son-in-law III 93;Maria Elisabeth Sparre/Karl Eriksson Sparre/17.2.1650
Fleming, Herman Claesson;67;1619;1673;1650;17.6.;31;Uradel (Ancient Nobility), barony 26.3.1651;Father 63, son CR, Son-in-law 258;Christina Rosladin/ Fritz Petrovitj (naturaliserad Rosladin)/15.5.1645
Lewenhaupt, Gustaf Adolf Johansson;126;1619;1656;1650;30.9.;31;Uradel (Ancient Nobility);Paternal Grandfather 121, Brothers 125 and 264, Father-in-law 53, Succ. Mat. 207;Christina Catharina De la Gardie/Jakob De la Gardie (CR)/21.3.1648
Rosenhane, Schering Johansson;177;1609;1663;1650;30.9.;41;Uradel (Ancient Nobility), barony 3.6.1652;Brother 176;Beata Sparre/Bengt Jöransson Sparre af Rossvik/16.1.1618
Stenbock, Erik Gustafsson;202;1612;1659;1650;30.9.;38;Uradel (Ancient Nobility), countship 27.3.1651;Father 205, Brothers 204 and 207, Sons-in-law 192 and 148, Son-in-law CR;1. Catharina von Schwerin/Rüdiger von Schwerin/00.8.1637 2. Occa Johanna Riperda/Hero Moritz Riperda/21.9.1656
Berendes, Johan;11;1603;1652;1651;10.4.;48;Uradel (Ancient Nobility);Father-in-law II 111, Son-in-law II 164;1. Margaretha Wildeman/Arvid Wildeman/6.7.1630 2. Ingeborg Kurck/Jöns Knutsson Kurck (CR)/14.12.1657
Königsmarck, Hans Kristoffer;116;1600;1663;1651;10.4.;51;Uradel (Ancient Nobility) (Germany), countship 26.3.1651;Son-in-law 255;Barbara Maria Agata von Leesten/Christopher von Leesten/00.2.1633
Linde, Lorentz Eriksson von der;135;1610;1671;1651;10.4.;41;Ennobled 17.1.1631, barony 14.5.1651;No relatives;Unmarried
Oxenstierna af Södermöre, Erik Axelsson;151;1624;1656;1651;10.4.;27;Uradel (Ancient Nobility), countship 19.11.1645;Father 145, Brother 158, Father-in-law Nils Brahe (CR), Sons-in-law 224 and 257;Elsa Elisabeth Brahe/Nils Abrahamsson Brahe/10.9.1648
